[2026-09-04T09:39:06.578Z] GET http://localhost:8080/index.html → 200 (6ms, 4817B)
[2026-09-04T09:39:06.593Z] GET https://fonts.googleapis.com/css2?family=Anton&family=Archivo:ital,wght@0,400;0,500;0,600;0,700;0,800;1,400&display=swap → pending (?ms, ?B)
[2026-09-04T09:39:06.593Z] GET http://localhost:8080/styles.css?v=50 → 200 (6ms, 14117B)
[2026-09-04T09:39:06.593Z] GET http://localhost:8080/assets/images/Logo/WFI%20-%20Horz%20Transp%20White.png → 200 (3ms, 170417B)
[2026-09-04T09:39:06.594Z] GET http://localhost:8080/assets/images/Logo/WFI%20-%20Horz%20Transp%20Black.png → 200 (7ms, 128178B)
[2026-09-04T09:39:06.595Z] GET http://localhost:8080/script.js?v=15 → 200 (8ms, 6088B)
[2026-09-04T09:39:10.202Z] GET https://fonts.gstatic.com/s/archivo/v25/k3kPo8UDI-1M0wlSV9XAw6lQkqWY8Q82sLydOxI.woff2 → 200 (815ms, 35478B)
[2026-09-04T09:39:10.202Z] GET https://fonts.gstatic.com/s/anton/v27/1Ptgg87LROyAm3Kz-C8.woff2 → 200 (909ms, 18741B)
[2026-09-04T09:39:10.209Z] GET http://localhost:8080/data/articles.json → 200 (70ms, 172982B)
[2026-09-04T09:39:10.540Z] GET https://picsum.photos/seed/wire1/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.544Z] GET https://picsum.photos/seed/wire6/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.547Z] GET https://picsum.photos/seed/wire13/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.548Z] GET https://picsum.photos/seed/wire19/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.562Z] GET https://picsum.photos/seed/wire20/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.562Z] GET https://picsum.photos/seed/wire21/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.562Z] GET https://picsum.photos/seed/wire2/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.562Z] GET https://picsum.photos/seed/wire10/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.562Z] GET https://picsum.photos/seed/wire16/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.563Z] GET https://picsum.photos/seed/wire38/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.563Z] GET https://picsum.photos/seed/wire39/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.563Z] GET https://picsum.photos/seed/wire40/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.563Z] GET https://picsum.photos/seed/wire3/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.563Z] GET https://picsum.photos/seed/wire15/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.563Z] GET https://picsum.photos/seed/wire29/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.563Z] GET https://picsum.photos/seed/wire30/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.563Z] GET https://picsum.photos/seed/wire31/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.563Z] GET https://picsum.photos/seed/wire32/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.564Z] GET https://picsum.photos/seed/wire4/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.564Z] GET https://picsum.photos/seed/wire5/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.564Z] GET https://picsum.photos/seed/wire47/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.564Z] GET https://picsum.photos/seed/wire48/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.564Z] GET https://picsum.photos/seed/wire49/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.564Z] GET https://picsum.photos/seed/wire50/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.564Z] GET https://picsum.photos/seed/wire7/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.564Z] GET https://picsum.photos/seed/wire8/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.564Z] GET https://picsum.photos/seed/wire63/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.564Z] GET https://picsum.photos/seed/wire64/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.565Z] GET https://picsum.photos/seed/wire65/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.565Z] GET https://picsum.photos/seed/wire66/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.565Z] GET https://picsum.photos/seed/wire9/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.565Z] GET https://picsum.photos/seed/wire17/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.565Z] GET https://picsum.photos/seed/wire55/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.565Z] GET https://picsum.photos/seed/wire56/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.565Z] GET https://picsum.photos/seed/wire57/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.565Z] GET https://picsum.photos/seed/wire58/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.566Z] GET https://picsum.photos/seed/wire11/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.566Z] GET https://picsum.photos/seed/wire18/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.566Z] GET https://picsum.photos/seed/wire77/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.566Z] GET https://picsum.photos/seed/wire78/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.566Z] GET https://picsum.photos/seed/wire79/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.566Z] GET https://picsum.photos/seed/wire80/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.566Z] GET https://picsum.photos/seed/wire12/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.566Z] GET https://picsum.photos/seed/wire14/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.566Z] GET https://picsum.photos/seed/wire70/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.567Z] GET https://picsum.photos/seed/wire71/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.567Z] GET https://picsum.photos/seed/wire72/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:10.567Z] GET https://picsum.photos/seed/wire73/1200/900 → pending (?ms, ?B)
[2026-09-04T09:39:11.218Z] GET https://fastly.picsum.photos/id/127/1200/900.jpg?hmac=XrjdQI8itPZiXzIMe7quAdeuHcIodxdmc_AiMvzY6_s → pending (?ms, ?B)
[2026-09-04T09:39:11.219Z] GET https://fastly.picsum.photos/id/398/1200/900.jpg?hmac=eiAS0HrWT-UGETLJXI9TPVOKHRQEIcu43g2ffqK54O0 → pending (?ms, ?B)
[2026-09-04T09:39:11.220Z] GET https://fastly.picsum.photos/id/187/1200/900.jpg?hmac=TSAEJDZwYXjZLHeGKSayfuc0Np_uoi_rJ7px9-OdzRs → pending (?ms, ?B)
[2026-09-04T09:39:11.224Z] GET https://fastly.picsum.photos/id/4/1200/900.jpg?hmac=TE_jHwh0G3dy6Ap1fswjRx1sddMDUomKg95Uz9pinic → pending (?ms, ?B)
[2026-09-04T09:39:11.226Z] GET https://fastly.picsum.photos/id/1061/1200/900.jpg?hmac=w69Dw-CVXVBZq2zqBMQydliQAMDxzTJhDQY__RU98Nk → 200 (665ms, ?B)
[2026-09-04T09:39:11.227Z] GET https://fastly.picsum.photos/id/433/1200/900.jpg?hmac=fMSPzcy21aW05Ymt29cPxcyTNMvMjvmbbShlvR96XlA → 200 (642ms, 135771B)
[2026-09-04T09:39:11.238Z] GET https://fastly.picsum.photos/id/445/1200/900.jpg?hmac=EzuZomST4jwFHlGzCQxmvK7ABBUpxLy92M6X3YAmRlk → pending (?ms, ?B)
[2026-09-04T09:39:11.241Z] GET https://fastly.picsum.photos/id/785/1200/900.jpg?hmac=9HNxmndRBb7NLtUkbniKHVC5CjkXqn7Fj9JzWJ60968 → pending (?ms, ?B)
[2026-09-04T09:39:11.242Z] GET https://fastly.picsum.photos/id/693/1200/900.jpg?hmac=yLfjePT6jradZk9Wb3NEqm4pPHMPsFLnrDW1GDWyzAo → pending (?ms, ?B)
[2026-09-04T09:39:11.247Z] GET https://fastly.picsum.photos/id/562/1200/900.jpg?hmac=1crzZS8sSfE101eI-JdvhS9Ds89EMGYkS6WdsCtU_VY → pending (?ms, ?B)
[2026-09-04T09:39:11.250Z] GET https://fastly.picsum.photos/id/504/1200/900.jpg?hmac=N4pM3p5Q2kPQh6q9guhi4Q4lhU78SAa_NxHQlriWaGc → pending (?ms, ?B)
[2026-09-04T09:39:11.253Z] GET https://fastly.picsum.photos/id/218/1200/900.jpg?hmac=I8wtb63NZY6Kd8gvcbYnAM0JYmRTxDj4eKkqObdcLpI → pending (?ms, ?B)
[2026-09-04T09:39:11.254Z] GET https://fastly.picsum.photos/id/220/1200/900.jpg?hmac=-8JTwyr0SLAMtdOuy-yIUn6EfolAvfAJvYTpSue2PZY → pending (?ms, ?B)
[2026-09-04T09:39:11.256Z] GET https://fastly.picsum.photos/id/216/1200/900.jpg?hmac=y_FktCd06xrU15t8d15o9CdNl2CC6ALJmBEvOGqmZcY → pending (?ms, ?B)
[2026-09-04T09:39:11.286Z] GET https://fastly.picsum.photos/id/384/1200/900.jpg?hmac=9CJNauMZ1WgN-dW4dRLxioBr9tRRz2K4OodefQuHDvo → 200 (590ms, ?B)
[2026-09-04T09:39:11.290Z] GET https://fastly.picsum.photos/id/227/1200/900.jpg?hmac=zE2sc_0VBzZsNwZ56ZBjs6buTkwKiVdUEUkaASPi_xE → 200 (360ms, 204821B)
[2026-09-04T09:39:11.290Z] GET https://fastly.picsum.photos/id/1041/1200/900.jpg?hmac=yIoeCvlqDKJEKZPDx669nGETpHFMnZHmNSO3U06YXJ0 → pending (?ms, ?B)
[2026-09-04T09:39:11.295Z] GET https://fastly.picsum.photos/id/44/1200/900.jpg?hmac=wzRcH15Xo5h8uCkNhZ03yfukW5wnZPJiv92SgHmRfe0 → pending (?ms, ?B)
